src,dst,weight
World Trade Center,East Harlem North,22
Two Bridges/Seward Park,Newark Airport,21
Financial District North,Battery Park,21
Upper West Side South,Murray Hill,21
West Village,Upper West Side North,21
Seaport,West Chelsea/Hudson Yards,21
Bloomingdale,Greenwich Village North,21
Battery Park City,Upper West Side North,21
JFK Airport,Midtown North,21
Clinton West,Garment District,21
Murray Hill,Upper West Side South,21
Lincoln Square West,Gramercy,21
Central Harlem,Bushwick South,21
Meatpacking/West Village West,Upper East Side North,21
Midtown South,Bushwick South,21
Lincoln Square East,Financial District South,21
World Trade Center,Lincoln Square West,21
Penn Station/Madison Sq West,Two Bridges/Seward Park,21
Seaport,Yorkville East,21
Bloomingdale,Two Bridges/Seward Park,21
Battery Park City,East Harlem North,21
World Trade Center,Washington Heights North,21
West Village,Yorkville West,21
Lincoln Square West,Upper East Side North,21
Midtown North,Bushwick South,21
Central Harlem,Upper West Side North,21
Battery Park City,Yorkville West,21
Midtown North,Central Harlem,21
Gramercy,Upper West Side South,21
Brooklyn Heights,Sutton Place/Turtle Bay North,21
SoHo,UN/Turtle Bay South,21
Murray Hill,West Chelsea/Hudson Yards,21
Central Park,Washington Heights North,21
SoHo,Lenox Hill West,21
Stuy Town/Peter Cooper Village,West Village,21
TriBeCa/Civic Center,Times Sq/Theatre District,21
Upper East Side South,UN/Turtle Bay South,21
Flatiron,Gramercy,21
Clinton East,SoHo,21
Gramercy,Yorkville West,21
Greenwich Village North,Lenox Hill West,21
Sutton Place/Turtle Bay North,Battery Park City,21
Greenwich Village South,Yorkville West,21
Battery Park City,Lenox Hill West,21
Greenwich Village South,Central Park,21
Battery Park City,UN/Turtle Bay South,21
West Village,Newark Airport,21
Sutton Place/Turtle Bay North,Bushwick South,21
SoHo,Garment District,21
Meatpacking/West Village West,Union Sq,21
JFK Airport,Yorkville East,21
Yorkville West,Financial District South,21
Meatpacking/West Village West,Manhattan Valley,21
Newark Airport,West Chelsea/Hudson Yards,21
Lenox Hill East,Seaport,21
Brooklyn Heights,Washington Heights North,21
Lenox Hill East,Murray Hill,21
Midtown Center,Garment District,21
UN/Turtle Bay South,Brooklyn Heights,21
Meatpacking/West Village West,World Trade Center,21
Seaport,Astoria,21
JFK Airport,Central Harlem,21
Central Harlem,JFK Airport,21
Garment District,Washington Heights North,21
JFK Airport,Upper West Side North,21
UN/Turtle Bay South,Yorkville West,21
Penn Station/Madison Sq West,Gramercy,21
Garment District,Upper West Side North,21
Washington Heights North,Upper East Side South,21
Upper West Side North,Bushwick South,21
Greenwich Village South,World Trade Center,21
Lincoln Square West,East Harlem North,21
Financial District South,Central Park,21
Central Park,Astoria,21
Two Bridges/Seward Park,Upper West Side North,21
Two Bridges/Seward Park,Seaport,20
TriBeCa/Civic Center,Lenox Hill East,20
Clinton West,Lenox Hill West,20
LaGuardia Airport,Clinton West,20
Financial District South,West Chelsea/Hudson Yards,20
Greenwich Village South,Bloomingdale,20
East Harlem North,West Village,20
Murray Hill,UN/Turtle Bay South,20
Lower East Side,Midtown North,20
UN/Turtle Bay South,LaGuardia Airport,20
LaGuardia Airport,Washington Heights North,20
Yorkville West,West Village,20
TriBeCa/Civic Center,Financial District North,20
Newark Airport,TriBeCa/Civic Center,20
Alphabet City,Alphabet City,20
Bloomingdale,Greenwich Village South,20
Greenwich Village South,Alphabet City,20
UN/Turtle Bay South,Midtown North,20
Seaport,Central Park,20
Bushwick South,Financial District South,20
West Village,Midtown Center,20
Lenox Hill East,Meatpacking/West Village West,20
SoHo,Upper East Side North,20
Murray Hill,Times Sq/Theatre District,20
Midtown North,Greenwich Village South,20
West Chelsea/Hudson Yards,Midtown Center,20
Lower East Side,Seaport,20
TriBeCa/Civic Center,Flatiron,20
Alphabet City,Financial District South,20
UN/Turtle Bay South,Seaport,20
Gramercy,Stuy Town/Peter Cooper Village,20
Astoria,Murray Hill,20
Central Park,Lincoln Square West,20
Sutton Place/Turtle Bay North,Hudson Sq,20
JFK Airport,Greenwich Village North,20
Sutton Place/Turtle Bay North,Newark Airport,20
Lower East Side,Meatpacking/West Village West,20
East Village,Two Bridges/Seward Park,20
Financial District South,Midtown Center,20
Greenwich Village South,Garment District,20
East Chelsea,World Trade Center,20
Washington Heights North,Two Bridges/Seward Park,20
Manhattan Valley,Central Park,20
Penn Station/Madison Sq West,SoHo,20
Upper West Side South,Manhattan Valley,20
Seaport,Union Sq,20
Brooklyn Heights,Yorkville East,20
Upper East Side North,Sutton Place/Turtle Bay North,20
Washington Heights South,Central Harlem,20
LaGuardia Airport,Meatpacking/West Village West,20
Clinton West,Sutton Place/Turtle Bay North,20
Garment District,World Trade Center,20
Yorkville East,Greenwich Village North,20
JFK Airport,Clinton West,20
East Village,East Village,20
Bloomingdale,Upper West Side South,20
UN/Turtle Bay South,Bedford,20
Sutton Place/Turtle Bay North,Murray Hill,20
Newark Airport,Midtown North,20
Washington Heights North,Lenox Hill East,20
West Chelsea/Hudson Yards,Gramercy,20
Greenwich Village South,Upper West Side North,20
TriBeCa/Civic Center,Newark Airport,20
JFK Airport,Clinton East,20
Upper West Side North,Financial District North,20
Lincoln Square East,Flatiron,20
Garment District,Bushwick South,20
TriBeCa/Civic Center,Lenox Hill West,20
UN/Turtle Bay South,Bloomingdale,20
Astoria,Midtown Center,20
Two Bridges/Seward Park,West Village,20
Stuy Town/Peter Cooper Village,Washington Heights North,20
Brooklyn Heights,UN/Turtle Bay South,20
Meatpacking/West Village West,West Chelsea/Hudson Yards,20
Battery Park City,Bedford,20
Upper West Side South,Clinton West,20
West Chelsea/Hudson Yards,Financial District North,20
UN/Turtle Bay South,Upper East Side North,20
Stuy Town/Peter Cooper Village,Greenwich Village North,20
UN/Turtle Bay South,World Trade Center,20
Battery Park,Murray Hill,20
East Chelsea,Lincoln Square West,20
Alphabet City,Two Bridges/Seward Park,20
Garment District,Upper East Side North,20
Midtown East,TriBeCa/Civic Center,20
Clinton East,Penn Station/Madison Sq West,20
West Village,Brooklyn Heights,20
Hudson Sq,Brooklyn Heights,20
Bushwick South,Newark Airport,20
Lenox Hill East,TriBeCa/Civic Center,20
TriBeCa/Civic Center,Astoria,20
East Village,Times Sq/Theatre District,20
Upper West Side North,Upper East Side South,20
World Trade Center,World Trade Center,20
Central Harlem,Washington Heights South,20
Lincoln Square West,Lincoln Square West,20
Seaport,Penn Station/Madison Sq West,20
Upper East Side North,Washington Heights South,20
Times Sq/Theatre District,Lenox Hill East,20
Midtown Center,Lenox Hill East,20
Clinton West,JFK Airport,20
West Village,Flatiron,20
Garment District,Lower East Side,20
Greenwich Village South,Greenwich Village North,20
Lenox Hill West,Murray Hill,20
JFK Airport,Midtown Center,20
Yorkville East,Flatiron,20
Lenox Hill East,East Village,20
Upper East Side South,Manhattan Valley,20
Washington Heights North,Central Park,20
World Trade Center,East Village,20
Lower East Side,Lenox Hill East,20
Flatiron,SoHo,20
Astoria,Yorkville West,20
West Chelsea/Hudson Yards,Washington Heights South,20
East Harlem North,TriBeCa/Civic Center,20
Midtown Center,Lenox Hill West,20
Bedford,Stuy Town/Peter Cooper Village,20
East Village,Central Harlem,20
Bedford,Sutton Place/Turtle Bay North,20
Yorkville East,Financial District South,20
Garment District,Gramercy,19
East Chelsea,Hudson Sq,19
Seaport,Manhattan Valley,19
Midtown East,Lenox Hill East,19
TriBeCa/Civic Center,Yorkville East,19
Garment District,Greenwich Village South,19
Greenwich Village South,Clinton West,19
Two Bridges/Seward Park,Flatiron,19
Seaport,TriBeCa/Civic Center,19
Midtown North,Central Park,19
Greenwich Village South,West Chelsea/Hudson Yards,19
Flatiron,UN/Turtle Bay South,19
Lenox Hill West,Greenwich Village North,19
World Trade Center,LaGuardia Airport,19
Financial District North,Yorkville East,19
Lenox Hill West,Sutton Place/Turtle Bay North,19
Seaport,World Trade Center,19
UN/Turtle Bay South,Stuy Town/Peter Cooper Village,19
Clinton West,Bushwick South,19
JFK Airport,LaGuardia Airport,19
East Village,East Chelsea,19
Yorkville West,Times Sq/Theatre District,19
Bedford,Astoria,19
Manhattan Valley,Midtown East,19
Lincoln Square East,Upper East Side South,19
Upper East Side South,Yorkville West,19
Penn Station/Madison Sq West,Penn Station/Madison Sq West,19
Midtown Center,Upper East Side North,19
Yorkville West,East Village,19
Bloomingdale,Hudson Sq,19
TriBeCa/Civic Center,JFK Airport,19
SoHo,West Village,19
Upper West Side North,Clinton West,19
Central Harlem,East Harlem North,19
Midtown North,West Chelsea/Hudson Yards,19
Brooklyn Heights,Yorkville West,19
Murray Hill,Astoria,19
Murray Hill,Bedford,19
Lower East Side,Gramercy,19
Financial District South,Gramercy,19
Central Park,Yorkville West,19
Clinton West,West Chelsea/Hudson Yards,19
Brooklyn Heights,Gramercy,19
Battery Park,TriBeCa/Civic Center,19
Hudson Sq,Battery Park,19
Washington Heights South,Alphabet City,19
Alphabet City,Bedford,19
Battery Park,Greenwich Village South,19
East Village,Bedford,19
Newark Airport,Bushwick South,19
Battery Park City,Washington Heights North,19
Washington Heights North,Lower East Side,19
Central Harlem,Sutton Place/Turtle Bay North,19
Murray Hill,Manhattan Valley,19
Upper East Side North,Newark Airport,19
Seaport,Lenox Hill East,19
LaGuardia Airport,Hudson Sq,19
Garment District,Financial District North,19
East Chelsea,East Village,19
Seaport,Brooklyn Heights,19
Yorkville East,World Trade Center,19
Bushwick South,Midtown South,19
Bushwick South,Garment District,19
UN/Turtle Bay South,Greenwich Village South,19
Brooklyn Heights,Penn Station/Madison Sq West,19
UN/Turtle Bay South,Lenox Hill East,19
Flatiron,Bushwick South,19
East Village,West Village,19
Bloomingdale,Midtown North,19
Astoria,JFK Airport,19
Bushwick South,Alphabet City,19
LaGuardia Airport,Alphabet City,19
West Village,JFK Airport,19
Alphabet City,Sutton Place/Turtle Bay North,19
TriBeCa/Civic Center,Union Sq,19
Central Park,Union Sq,19
UN/Turtle Bay South,Central Park,19
Gramercy,Brooklyn Heights,19
Washington Heights South,Washington Heights South,19
TriBeCa/Civic Center,Meatpacking/West Village West,19
Clinton West,Clinton West,19
Lower East Side,Clinton East,19
LaGuardia Airport,Newark Airport,19
Sutton Place/Turtle Bay North,West Chelsea/Hudson Yards,19
Garment District,Central Harlem,19
Upper East Side South,Murray Hill,19
Meatpacking/West Village West,LaGuardia Airport,19
Murray Hill,Central Harlem,19
Seaport,Times Sq/Theatre District,19
West Chelsea/Hudson Yards,Clinton West,19
Central Park,West Village,19
Newark Airport,Lincoln Square East,19
Central Harlem,Upper East Side South,19
Battery Park City,Washington Heights South,19
Clinton West,Upper West Side North,19
Upper East Side North,Two Bridges/Seward Park,19
Midtown East,Yorkville East,19
Flatiron,Battery Park City,19
Gramercy,TriBeCa/Civic Center,19
Meatpacking/West Village West,Lincoln Square West,19
Two Bridges/Seward Park,JFK Airport,19
Gramercy,Lincoln Square West,19
UN/Turtle Bay South,East Chelsea,19
Murray Hill,Union Sq,19
Garment District,Union Sq,19
SoHo,Stuy Town/Peter Cooper Village,19
East Chelsea,Astoria,19
Lincoln Square East,Stuy Town/Peter Cooper Village,19
Midtown North,Murray Hill,19
Midtown South,SoHo,19
Greenwich Village North,Brooklyn Heights,19
East Village,East Harlem North,19
Bedford,Clinton East,19
Midtown North,Seaport,19
Meatpacking/West Village West,Alphabet City,19
Garment District,Hudson Sq,19
Union Sq,Hudson Sq,19
Bedford,Midtown South,19
Financial District North,Two Bridges/Seward Park,19
West Chelsea/Hudson Yards,Central Harlem,19
Washington Heights North,Upper West Side South,19
Greenwich Village South,Lower East Side,19
Lincoln Square West,LaGuardia Airport,19
Two Bridges/Seward Park,Gramercy,19
Hudson Sq,Two Bridges/Seward Park,19
Sutton Place/Turtle Bay North,Flatiron,19
Upper West Side South,Flatiron,19
Astoria,Flatiron,19
SoHo,Newark Airport,19
Lenox Hill East,SoHo,19
Bedford,West Chelsea/Hudson Yards,19
Clinton East,Bedford,19
Bedford,Seaport,19
LaGuardia Airport,Midtown East,19
TriBeCa/Civic Center,Gramercy,19
Lincoln Square East,Garment District,19
Lower East Side,Bushwick South,19
Astoria,Times Sq/Theatre District,19
Sutton Place/Turtle Bay North,SoHo,19
Hudson Sq,Midtown North,19
Central Harlem,Newark Airport,19
Upper West Side North,Gramercy,19
Stuy Town/Peter Cooper Village,Garment District,19
UN/Turtle Bay South,Clinton West,19
Midtown East,Lincoln Square East,19
Two Bridges/Seward Park,Bedford,19
East Village,Upper West Side South,19
Midtown North,JFK Airport,19
Bedford,World Trade Center,19
Astoria,TriBeCa/Civic Center,19
TriBeCa/Civic Center,Battery Park,19
Battery Park,Lower East Side,19
Midtown East,Upper West Side North,19
Newark Airport,Seaport,19
Yorkville West,Astoria,19
World Trade Center,TriBeCa/Civic Center,19
Bloomingdale,Clinton West,19
West Chelsea/Hudson Yards,Meatpacking/West Village West,19
Brooklyn Heights,Brooklyn Heights,19
Upper West Side North,Upper West Side North,19
East Village,Sutton Place/Turtle Bay North,19
Clinton West,Financial District South,19
Upper East Side North,Upper West Side South,19
Central Park,Greenwich Village North,19
Times Sq/Theatre District,Hudson Sq,19
Lenox Hill East,JFK Airport,19
Upper West Side South,Garment District,18
Upper East Side North,Murray Hill,18
Lincoln Square West,East Village,18
Central Park,East Village,18
Greenwich Village North,Bloomingdale,18
Brooklyn Heights,Upper East Side South,18
Manhattan Valley,Central Harlem,18
Midtown South,Central Park,18
East Chelsea,Yorkville West,18
Central Park,Bloomingdale,18
Lincoln Square East,Upper East Side North,18
TriBeCa/Civic Center,Alphabet City,18
Flatiron,JFK Airport,18
Greenwich Village North,Washington Heights South,18
Garment District,Battery Park,18
TriBeCa/Civic Center,World Trade Center,18
Bedford,Upper West Side North,18
Two Bridges/Seward Park,Bushwick South,18
Battery Park,Central Park,18
Washington Heights South,Lincoln Square West,18
Upper West Side North,Lincoln Square West,18
East Village,Battery Park,18
Gramercy,Financial District South,18
Upper West Side North,SoHo,18
Manhattan Valley,Union Sq,18
Greenwich Village North,Stuy Town/Peter Cooper Village,18
Clinton East,Central Park,18
Central Harlem,Battery Park,18
Brooklyn Heights,TriBeCa/Civic Center,18
Upper West Side North,Upper West Side South,18
Midtown East,West Village,18
Stuy Town/Peter Cooper Village,Battery Park,18
West Chelsea/Hudson Yards,Financial District South,18
Sutton Place/Turtle Bay North,Central Harlem,18
Washington Heights North,Yorkville East,18
Gramercy,Washington Heights South,18
East Harlem North,Midtown South,18
Upper East Side North,Washington Heights North,18
Greenwich Village South,Bedford,18
Upper East Side North,Midtown North,18
Union Sq,Lincoln Square West,18
Upper West Side South,Central Harlem,18
Clinton East,West Village,18
Penn Station/Madison Sq West,Battery Park City,18
World Trade Center,Meatpacking/West Village West,18
Battery Park City,Central Harlem,18
Meatpacking/West Village West,JFK Airport,18
Financial District North,Sutton Place/Turtle Bay North,18
Lenox Hill West,Brooklyn Heights,18
Midtown North,LaGuardia Airport,18
Astoria,Midtown South,18
West Chelsea/Hudson Yards,Lenox Hill East,18
Penn Station/Madison Sq West,East Harlem North,18
SoHo,Upper West Side North,18
Washington Heights South,Bloomingdale,18
Washington Heights North,Astoria,18
Two Bridges/Seward Park,Stuy Town/Peter Cooper Village,18
Greenwich Village North,Two Bridges/Seward Park,18
Union Sq,Financial District South,18
Garment District,Lenox Hill East,18
Murray Hill,Upper East Side North,18
Midtown North,Upper West Side North,18
Union Sq,Bedford,18
Seaport,Alphabet City,18
Yorkville West,Midtown North,18
Financial District North,Upper West Side North,18
Penn Station/Madison Sq West,Central Park,18
Clinton East,Upper West Side North,18
Greenwich Village South,East Harlem North,18
SoHo,Battery Park,18
Midtown North,Washington Heights North,18
Brooklyn Heights,Greenwich Village North,18
East Village,Union Sq,18
Midtown East,World Trade Center,18
Flatiron,Union Sq,18
Yorkville East,Clinton East,18
Stuy Town/Peter Cooper Village,Two Bridges/Seward Park,18
Central Harlem,Flatiron,18
JFK Airport,Lincoln Square West,18
Clinton East,Yorkville West,18
East Chelsea,Seaport,18
Upper West Side South,Stuy Town/Peter Cooper Village,18
LaGuardia Airport,UN/Turtle Bay South,18
LaGuardia Airport,Lenox Hill East,18
Bushwick South,Hudson Sq,18
Lenox Hill East,Bedford,18
Times Sq/Theatre District,Washington Heights South,18
Seaport,Murray Hill,18
World Trade Center,West Village,18
Seaport,Upper West Side North,18
Upper East Side South,Bloomingdale,18
Two Bridges/Seward Park,Upper West Side South,18
TriBeCa/Civic Center,Upper West Side South,18
Lenox Hill East,Clinton East,18
Bedford,Midtown Center,18
LaGuardia Airport,Gramercy,18
Lincoln Square East,Financial District North,18
Hudson Sq,Upper East Side South,18
Newark Airport,Sutton Place/Turtle Bay North,18
Sutton Place/Turtle Bay North,Central Park,18
Midtown North,UN/Turtle Bay South,18
TriBeCa/Civic Center,Greenwich Village South,18
Two Bridges/Seward Park,Washington Heights South,18
East Village,Greenwich Village North,18
Battery Park City,Midtown East,18
Union Sq,East Chelsea,18
Newark Airport,East Chelsea,18
Central Harlem,East Village,18
Yorkville West,Bloomingdale,18
Manhattan Valley,East Village,18
Central Park,Battery Park City,18
Garment District,East Harlem North,18
Newark Airport,Garment District,18
Times Sq/Theatre District,Newark Airport,18
Astoria,Bedford,18
Washington Heights North,Hudson Sq,18
Lenox Hill East,Central Park,18
Meatpacking/West Village West,West Village,18
Yorkville East,Washington Heights South,18
Midtown East,Clinton East,18
Clinton West,Financial District North,18
Lenox Hill East,Brooklyn Heights,18
West Village,Financial District North,18
Times Sq/Theatre District,Upper East Side South,18
Financial District South,Upper West Side North,18
East Harlem North,Central Park,18
Stuy Town/Peter Cooper Village,JFK Airport,18
Yorkville West,East Harlem North,18
Gramercy,Seaport,18
Hudson Sq,Greenwich Village South,18
Newark Airport,Washington Heights North,18
Gramercy,Battery Park,18
Clinton West,Central Park,18
Lenox Hill East,Battery Park,18
Upper East Side North,Bloomingdale,18
Upper East Side North,Flatiron,18
Central Harlem,Alphabet City,18
Bushwick South,Times Sq/Theatre District,18
SoHo,Astoria,18
Financial District North,Lincoln Square East,18
Yorkville West,Clinton East,18
JFK Airport,Financial District South,18
UN/Turtle Bay South,Gramercy,18
Battery Park City,Midtown South,18
Yorkville East,Bloomingdale,18
Yorkville West,Midtown South,18
Battery Park City,Battery Park,18
Battery Park City,Midtown North,18
Bloomingdale,Washington Heights South,18
Upper West Side North,Midtown Center,18
Times Sq/Theatre District,Alphabet City,18
Lenox Hill West,UN/Turtle Bay South,18
Times Sq/Theatre District,Bloomingdale,18
Midtown East,Midtown East,18
Meatpacking/West Village West,Hudson Sq,18
JFK Airport,UN/Turtle Bay South,18
Clinton West,SoHo,18
Flatiron,Washington Heights South,18
Bloomingdale,Astoria,18
Upper East Side South,Midtown Center,18
Midtown East,Lower East Side,18
Washington Heights South,Flatiron,18
Financial District North,East Village,18
Brooklyn Heights,Meatpacking/West Village West,18
Lincoln Square West,Union Sq,18
East Harlem North,Lincoln Square East,18
Yorkville East,Washington Heights North,18
Yorkville West,Bushwick South,18
Gramercy,Manhattan Valley,18
Greenwich Village North,Seaport,18
Meatpacking/West Village West,Gramercy,18
Financial District South,Bloomingdale,18
UN/Turtle Bay South,Sutton Place/Turtle Bay North,18
World Trade Center,Central Park,18
West Village,Yorkville East,18
Financial District South,Upper West Side South,18
Yorkville West,Greenwich Village South,18
Clinton East,Battery Park City,18
Washington Heights South,Bedford,18
Stuy Town/Peter Cooper Village,Central Park,18
Murray Hill,Flatiron,18
Upper West Side South,Financial District South,18
Bedford,SoHo,18
Clinton East,Manhattan Valley,18
Yorkville West,Washington Heights South,18
East Harlem North,Midtown Center,18
Yorkville East,Yorkville West,18
Garment District,Two Bridges/Seward Park,18
Upper West Side South,West Chelsea/Hudson Yards,18
Financial District South,Lower East Side,18
Yorkville East,TriBeCa/Civic Center,18
Yorkville East,Midtown South,18
Lincoln Square East,East Village,18
Central Park,JFK Airport,18
Manhattan Valley,Penn Station/Madison Sq West,18
West Chelsea/Hudson Yards,Battery Park,18
Union Sq,Union Sq,18
Brooklyn Heights,Central Harlem,18
Yorkville West,JFK Airport,18
Central Park,Midtown North,18
Yorkville West,Battery Park,18
Brooklyn Heights,Clinton East,18
Financial District North,Central Park,18
Central Park,UN/Turtle Bay South,18
TriBeCa/Civic Center,East Chelsea,18
East Harlem North,Clinton East,18
World Trade Center,Midtown East,18
Washington Heights South,SoHo,17
Central Harlem,Midtown East,17
Two Bridges/Seward Park,Lincoln Square East,17
JFK Airport,Brooklyn Heights,17
Bloomingdale,Upper East Side South,17
Central Park,Lenox Hill East,17
Flatiron,Upper East Side North,17
Battery Park,Midtown North,17
Manhattan Valley,Upper West Side North,17
Yorkville West,TriBeCa/Civic Center,17
TriBeCa/Civic Center,West Chelsea/Hudson Yards,17
West Chelsea/Hudson Yards,UN/Turtle Bay South,17
Lenox Hill West,JFK Airport,17
Union Sq,Bushwick South,17
Financial District North,East Chelsea,17
East Harlem North,East Chelsea,17
Midtown South,Bedford,17
World Trade Center,Alphabet City,17
Murray Hill,Lenox Hill East,17
Battery Park City,Meatpacking/West Village West,17
Yorkville East,Lower East Side,17
West Village,Lower East Side,17
Newark Airport,Upper West Side South,17
Lenox Hill West,Upper West Side North,17
World Trade Center,Upper East Side North,17
LaGuardia Airport,Midtown North,17
Brooklyn Heights,Astoria,17
SoHo,Murray Hill,17
Penn Station/Madison Sq West,Battery Park,17
Financial District North,Alphabet City,17
Financial District North,Midtown East,17
Midtown Center,Upper West Side North,17
Brooklyn Heights,LaGuardia Airport,17
Central Park,Midtown Center,17
TriBeCa/Civic Center,Lincoln Square East,17
West Village,Two Bridges/Seward Park,17
Hudson Sq,Garment District,17
Manhattan Valley,Sutton Place/Turtle Bay North,17
Meatpacking/West Village West,East Harlem North,17
Greenwich Village South,Lenox Hill West,17
Brooklyn Heights,Battery Park City,17
Battery Park,East Chelsea,17
Upper East Side South,Newark Airport,17
Brooklyn Heights,West Village,17
Washington Heights North,Greenwich Village South,17
Lincoln Square East,Upper West Side North,17
Yorkville West,Murray Hill,17
Murray Hill,Yorkville West,17
Central Harlem,Meatpacking/West Village West,17
East Village,Bushwick South,17
SoHo,Financial District North,17
Clinton East,Clinton West,17
Astoria,Washington Heights North,17
UN/Turtle Bay South,Financial District North,17
Lincoln Square West,Bedford,17
Lenox Hill West,Gramercy,17
LaGuardia Airport,Central Park,17
Financial District North,Midtown North,17
West Chelsea/Hudson Yards,Greenwich Village South,17
Battery Park City,JFK Airport,17
Midtown South,Clinton East,17
Lenox Hill West,Penn Station/Madison Sq West,17
Stuy Town/Peter Cooper Village,SoHo,17
Washington Heights North,West Chelsea/Hudson Yards,17
Washington Heights North,East Village,17
Financial District North,Lenox Hill West,17
Bushwick South,Greenwich Village North,17
Newark Airport,Washington Heights South,17
Bedford,LaGuardia Airport,17
Upper East Side South,West Chelsea/Hudson Yards,17
Lenox Hill West,Garment District,17
